district,population,hhid,subnatid1,subnatid2,age,hsize,welfare,whours,rooms,regioncode,geometry,hhweight
Kamubukwana,319968,4263,11 – Maputo Cidade,56 – Kamubukwana,55,3,44176.63671875,28,3,56,32.6035792212298|-25.9277739419992,203.572021160641
Kamubukwana,319968,4264,11 – Maputo Cidade,56 – Kamubukwana,12,3,44176.63671875,48,3,56,32.5831584041685|-25.948059348467,199.65984044951
Kamubukwana,319968,4265,11 – Maputo Cidade,56 – Kamubukwana,68,2,30081.18359375,48,4,56,32.5840903239791|-25.9410841365568,206.118582068277
Kamubukwana,319968,4266,11 – Maputo Cidade,56 – Kamubukwana,35,2,30081.18359375,48,4,56,32.585086022536|-25.9382816917529,216.199254030989
Kamubukwana,319968,4277,11 – Maputo Cidade,56 – Kamubukwana,43,7,9254.9609375,60,3,56,32.5770091599882|-25.9289326509344,211.813190014376
Kamubukwana,319968,4278,11 – Maputo Cidade,56 – Kamubukwana,41,7,9254.9609375,54,3,56,32.6187112030793|-25.9460014555582,206.88600422842
Kamubukwana,319968,4279,11 – Maputo Cidade,56 – Kamubukwana,6,7,9254.9609375,48,3,56,32.5895855577115|-25.9320403725846,206.362426895231
Kamubukwana,319968,4280,11 – Maputo Cidade,56 – Kamubukwana,11,7,9254.9609375,48,3,56,32.580227950361|-25.9384585889474,198.767394370653
Kamubukwana,319968,4281,11 – Maputo Cidade,56 – Kamubukwana,15,7,9254.9609375,48,3,56,32.5750319618927|-25.9388956794891,206.818221605637
Kamubukwana,319968,4282,11 – Maputo Cidade,56 – Kamubukwana,17,7,9254.9609375,48,3,56,32.576751227003|-25.9308502695301,212.228836704589
Kamubukwana,319968,4283,11 – Maputo Cidade,56 – Kamubukwana,21,7,9254.9609375,45,3,56,32.5977519630424|-25.9523643655806,208.063488278701
Kamubukwana,319968,4288,11 – Maputo Cidade,56 – Kamubukwana,38,3,16902.79296875,35,3,56,32.6205077921017|-25.930250485623,204.561339528095
Kamubukwana,319968,4289,11 – Maputo Cidade,56 – Kamubukwana,7,3,16902.79296875,48,3,56,32.5877244245227|-25.9365374156403,209.505882827634
Kamubukwana,319968,4290,11 – Maputo Cidade,56 – Kamubukwana,15,3,16902.79296875,48,3,56,32.6036288960982|-25.9316803739408,205.246820036698
Kamubukwana,319968,4291,11 – Maputo Cidade,56 – Kamubukwana,31,6,22939.921875,48,3,56,32.6151338364338|-25.9394753017934,205.692661705431
Kamubukwana,319968,4292,11 – Maputo Cidade,56 – Kamubukwana,31,6,22939.921875,12,3,56,32.6023750096333|-25.9488531535356,208.510097622261
Kamubukwana,319968,4293,11 – Maputo Cidade,56 – Kamubukwana,1,6,22939.921875,48,3,56,32.5793534327736|-25.9391245444311,200.195655784288
Kamubukwana,319968,4294,11 – Maputo Cidade,56 – Kamubukwana,16,6,22939.921875,48,3,56,32.5788565107911|-25.9351989870626,206.846526234566
Kamubukwana,319968,4295,11 – Maputo Cidade,56 – Kamubukwana,19,6,22939.921875,48,3,56,32.5945565042583|-25.9419714490196,198.283559189889
Kamubukwana,319968,4296,11 – Maputo Cidade,56 – Kamubukwana,31,6,22939.921875,48,3,56,32.6061848552961|-25.948387924004,218.741507751436
Kamubukwana,319968,4302,11 – Maputo Cidade,56 – Kamubukwana,28,4,14971.98828125,60,1,56,32.5852925434927|-25.9384308832316,206.43790964728
Kamubukwana,319968,4303,11 – Maputo Cidade,56 – Kamubukwana,19,4,14971.98828125,48,1,56,32.5988782213146|-25.9389245167824,198.828860828443
Kamubukwana,319968,4304,11 – Maputo Cidade,56 – Kamubukwana,0,4,14971.98828125,48,1,56,32.5989074150197|-25.9426038035414,199.865737178146
Kamubukwana,319968,4305,11 – Maputo Cidade,56 – Kamubukwana,2,4,14971.98828125,48,1,56,32.5985869643308|-25.9386834767382,209.483597611084
Kamubukwana,319968,4328,11 – Maputo Cidade,56 – Kamubukwana,24,3,22560.734375,72,2,56,32.6116345059289|-25.9268120582813,196.076543239981
Kamubukwana,319968,4329,11 – Maputo Cidade,56 – Kamubukwana,23,3,22560.734375,48,2,56,32.5956492645261|-25.9540410757247,201.211470686093
Kamubukwana,319968,4330,11 – Maputo Cidade,56 – Kamubukwana,4,3,22560.734375,48,2,56,32.5964445703112|-25.9318413282741,202.710462046463
Kamubukwana,319968,4354,11 – Maputo Cidade,56 – Kamubukwana,41,3,46203.92578125,40,2,56,32.5907326556665|-25.9443934028501,201.384469073366
Kamubukwana,319968,4355,11 – Maputo Cidade,56 – Kamubukwana,11,3,46203.92578125,48,2,56,32.5925501507051|-25.9303786820709,211.058090885571
Kamubukwana,319968,4356,11 – Maputo Cidade,56 – Kamubukwana,21,3,46203.92578125,48,2,56,32.5755410311312|-25.9348222556977,203.020965275418
Kamubukwana,319968,4357,11 – Maputo Cidade,56 – Kamubukwana,79,4,10133.658203125,14,2,56,32.6075875844586|-25.9397607350273,200.904916345597
Kamubukwana,319968,4358,11 – Maputo Cidade,56 – Kamubukwana,50,4,10133.658203125,38,2,56,32.578493247412|-25.9468260329169,209.293434976224
Kamubukwana,319968,4359,11 – Maputo Cidade,56 – Kamubukwana,13,4,10133.658203125,48,2,56,32.5990279715813|-25.942095604957,212.14416779579
Kamubukwana,319968,4360,11 – Maputo Cidade,56 – Kamubukwana,10,4,10133.658203125,48,2,56,32.5859385639552|-25.9371632050075,213.547013761341
Kamubukwana,319968,4377,11 – Maputo Cidade,56 – Kamubukwana,40,9,13423.0078125,70,7,56,32.5962549865371|-25.9353889771977,207.463062122772
Kamubukwana,319968,4378,11 – Maputo Cidade,56 – Kamubukwana,35,9,13423.0078125,63,7,56,32.5759924749139|-25.934508554738,210.49879851346
Kamubukwana,319968,4379,11 – Maputo Cidade,56 – Kamubukwana,5,9,13423.0078125,48,7,56,32.6034635695451|-25.9502783926697,210.878314628609
Kamubukwana,319968,4380,11 – Maputo Cidade,56 – Kamubukwana,38,9,13423.0078125,40,7,56,32.6162360920058|-25.9387849971755,201.055519239508
Kamubukwana,319968,4381,11 – Maputo Cidade,56 – Kamubukwana,30,9,13423.0078125,48,7,56,32.5775595279478|-25.9463189110139,202.577988601917
Kamubukwana,319968,4382,11 – Maputo Cidade,56 – Kamubukwana,28,9,13423.0078125,48,7,56,32.6049874354131|-25.9332445938061,204.616390842937
Kamubukwana,319968,4383,11 – Maputo Cidade,56 – Kamubukwana,24,9,13423.0078125,48,7,56,32.5932670775366|-25.9365336853816,206.199039206503
Kamubukwana,319968,4384,11 – Maputo Cidade,56 – Kamubukwana,4,9,13423.0078125,48,7,56,32.580317241285|-25.9438062361777,203.330498019431
Kamubukwana,319968,4385,11 – Maputo Cidade,56 – Kamubukwana,1,9,13423.0078125,48,7,56,32.5860827660838|-25.9369363662237,211.052877268688
Kamubukwana,319968,4393,11 – Maputo Cidade,56 – Kamubukwana,28,4,35675.2265625,66,6,56,32.5974467154259|-25.9455374929754,200.334194526182
Kamubukwana,319968,4394,11 – Maputo Cidade,56 – Kamubukwana,22,4,35675.2265625,48,6,56,32.5801816014393|-25.9472138880679,199.10718974647
Kamubukwana,319968,4395,11 – Maputo Cidade,56 – Kamubukwana,1,4,35675.2265625,48,6,56,32.601119910105|-25.9510506538044,211.342810873295
Kamubukwana,319968,4396,11 – Maputo Cidade,56 – Kamubukwana,15,4,35675.2265625,48,6,56,32.5748529470543|-25.9428985208919,209.849900826289
Kamubukwana,319968,4421,11 – Maputo Cidade,56 – Kamubukwana,67,2,70285.984375,40,4,56,32.5967152871871|-25.931735173151,201.415313366471
Kamubukwana,319968,4422,11 – Maputo Cidade,56 – Kamubukwana,93,2,70285.984375,48,4,56,32.600743469326|-25.9412334659096,206.83144515125
