"","Domain","Mean_MSE","Head_Count_MSE","Mean","BM_Head_Count","Mean_CV","Head_Count_CV"
"58","300203",0.0261923374415072,0.00414135502341671,-0.835835541545586,0.703034895320671,-0.19362716834223,0.0915365098530461
"59","300204",0.00791511118944898,0.00156133895651252,-0.0596699862164207,0.334580273307542,-1.49098259082587,0.118099556392656
"60","300205",0.0407216030237697,0.00738676691838248,-1.44019150922985,0.911910088386626,-0.140117437666334,0.0942486585282978
"61","300206",0.0194084931621886,0.00395192963297366,-0.702351581651105,0.640624386167674,-0.198354174391653,0.098129849984712
"62","300207",0.148475099238338,0.0227008505001997,-0.704313492828942,0.608838146494493,-0.547092553577688,0.247468091574589
"63","300208",0.0484975868252881,0.00986294991515805,-1.15952453750913,0.829452349693521,-0.18992411926825,0.119732478356392
"64","300301",0.0245515494559286,0.00443989742914955,-0.793567581760136,0.6821735961515,-0.197449271109246,0.0976768313827844
"65","300302",0.204246189440345,0.028257007250991,-0.86237976207307,0.67539517274018,-0.524056877975618,0.248888671323693
"66","300303",0.00525075437910525,0.000985363830456116,-0.399775494011708,0.493473651896086,-0.181256956316154,0.0636113099419216
"67","300304",0.0493718401135038,0.00866096638967472,-1.23887385533894,0.85407725962539,-0.179354620376749,0.108964747792976
"68","300305",0.0175152382994591,0.00310720897299345,-0.980005087275662,0.762179527802653,-0.135045368740797,0.0731354523314938
"69","300306",0.0338001236532112,0.00553857921581208,-1.06034174300135,0.79208485518527,-0.173385703820548,0.0939566397249961
"70","300307",0.173537126201285,0.025279471603677,-0.875740843398528,0.678508909155363,-0.475686247197924,0.234330296189528
"71","300308",0.0165823628143224,0.00296919834096397,-0.665678047780735,0.624236950088058,-0.193445651320017,0.0872911334231342
"72","300309",0.068755948873844,0.0107386102589038,-0.442774434364169,0.516083027149254,-0.592205727123813,0.200795725784116
"73","300310",0.0463508897961299,0.00812357450651514,-0.977447858274792,0.758184797893618,-0.220259900397468,0.118877184790557
"74","300311",0.0425826913519911,0.0076819997663091,-0.781922692799943,0.672146929961398,-0.263908109725989,0.130398599033308
"75","300401",0.161587247781536,0.0239108078247447,-0.851479220765125,0.666594990548204,-0.472095094706086,0.231971739335583
"76","300402",0.154827934792002,0.0230799628511717,-0.872918253691401,0.679472571665196,-0.45076593177513,0.223586523121437
"77","300403",0.0503222784817765,0.00786573288277371,-0.634378429768867,0.608646590677645,-0.353615864467041,0.145715047852667
"78","300404",0.0476070843224178,0.00769239557969425,-0.660033590499822,0.621223823412397,-0.330574807552947,0.141183096428419
"79","300405",0.0593828468281958,0.0100750487670183,-0.627959493558498,0.605792344167586,-0.388059997403805,0.16569133530876
"80","300406",0.192411564899329,0.0260041225566539,-0.811675157438564,0.658469082811285,-0.540422387726998,0.244898268080112
"81","300407",0.0479648195528898,0.00858328168199724,-0.588081070795472,0.586354572208619,-0.372412463421973,0.158003376056703
"82","300408",0.00199928525296955,0.000371336524823046,-0.135041492351219,0.3651984979767,-0.331108364863812,0.0527660824457441
"83","300409",0.0190265565445388,0.00292786558039175,-0.4627260116218,0.526406220143229,-0.298096024712386,0.102790873048528
"84","300410",0.0375371543413264,0.00569466653948892,-0.639875531801154,0.610516828635007,-0.302785566923633,0.123605133948339
"85","300411",0.0451611278138555,0.00853309166606961,-0.484792859144556,0.535853594810185,-0.438355212727622,0.172388010257476
"86","300412",0.0450590934560328,0.00826853848399643,-0.681727687235876,0.630464538295297,-0.311372527836641,0.144229371884104
"87","300413",0.0510166610956713,0.0080933938028614,-0.638875418102428,0.611138132273565,-0.353541042097353,0.147206149751908
"88","400101",0.0450274892038431,0.00797233609269631,0.364387027508952,0.150785852716639,0.582339109571074,0.592150640299304
"89","400102",0.0420424833896294,0.00631130060652441,-0.387287090321629,0.416428406870517,-0.529433185622866,0.19077395599513
"90","400103",0.0408483122733451,0.00810892660597415,-0.081947964494258,0.293843567054992,-2.46631695283481,0.3064541432782
"91","400104",0.189917396220662,0.0284686164584434,-0.147505832119958,0.371264767199444,-2.95442644373209,0.454463955207177
"92","400105",0.00359241708976371,0.000555590340530993,0.438532815565311,0.130904904830574,0.136675691403481,0.180061732287794
"93","400106",0.0566001407312676,0.00871372937304571,0.711052683289855,0.0805133756699994,0.334585392091209,1.15940187460717
"94","400107",0.190607132021485,0.0282582168586423,-0.135754955192062,0.368591603594888,-3.21598402406498,0.456065204424847
"95","400108",0.0504428019915849,0.00919417869278919,-0.933269398953465,0.632978506102028,-0.240653717822129,0.151484259068058
"96","400109",0.186113338948982,0.0273122856780782,-0.141157088882587,0.36623148331029,-3.05623015931218,0.451256371779164
