latitude,longitude,rwi,error
12.4151184,-15.9851074,-0.275,0.368
11.5553801,-15.5017090,-0.855,0.346
11.9426009,-15.9851074,-0.335,0.357
11.8350943,-14.0075684,-0.577,0.353
12.3936586,-13.8977051,-0.330,0.358
11.5553801,-15.5676270,-0.431,0.341
12.1574857,-15.1940918,-0.667,0.346
12.1574857,-15.8752441,-0.983,0.358
12.2004420,-15.2160645,-0.731,0.351
12.1574857,-16.3146973,-0.667,0.344
11.2538371,-15.3479004,-0.733,0.346
12.4151184,-15.8972168,-0.362,0.346
11.1460662,-15.1281738,-0.722,0.345
12.1360050,-15.4577637,-0.320,0.343
11.9211029,-15.6555176,-0.366,0.399
12.3507339,-13.8098145,-0.107,0.343
12.3507339,-15.6555176,-0.141,0.349
12.0285754,-15.0402832,-0.716,0.408
12.3507339,-15.1281738,-0.548,0.344
12.0500648,-14.9743652,-0.507,0.359
11.5553801,-14.7766113,-0.526,0.447
12.2004420,-16.1389160,-0.381,0.344
12.4580325,-15.2380371,-0.880,0.363
12.5438394,-14.3371582,-0.197,0.348
11.8350943,-14.9963379,-0.628,0.343
12.1789647,-15.3479004,-0.619,0.343
11.8350943,-15.4138184,-0.376,0.355
12.2863336,-15.8093262,-0.662,0.349
12.3292689,-13.8757324,-0.164,0.356
12.3936586,-15.8093262,-0.453,0.419
12.2648633,-15.4577637,-0.592,0.367
11.5769066,-14.6887207,0.450,0.383
11.9211029,-15.6774902,-0.538,0.383
12.4365763,-15.4797363,-0.420,0.348
12.3936586,-15.8532715,-0.789,0.412
12.2648633,-14.5568848,-0.382,0.370
12.1360050,-15.0842285,-0.626,0.345
11.9211029,-16.1169434,-0.480,0.345
12.3292689,-15.8752441,-0.404,0.349
11.1676236,-15.2819824,-0.623,0.363
12.4365763,-14.6447754,-0.356,0.344
11.8565990,-15.3259277,-0.346,0.360
12.4794869,-15.4797363,-0.719,0.346
11.4046486,-15.1501465,-0.423,0.344
12.4365763,-15.5895996,-0.900,0.351
12.4365763,-14.1613770,-0.684,0.344
11.7490585,-15.4577637,-0.423,0.344
11.4261866,-15.0842285,-0.852,0.347
11.5984314,-15.4357910,-0.337,0.342
12.2433913,-15.2819824,0.189,0.341
12.0500648,-14.7326660,-1.095,0.342
11.2538371,-15.0402832,-0.434,0.377
11.8565990,-16.2707520,-0.873,0.347
11.3184804,-15.1940918,-0.312,0.344
12.5009395,-14.2492676,-0.606,0.344
11.8350943,-13.7219238,-0.756,0.345
12.3936586,-15.9191895,-0.602,0.415
12.2863336,-15.7434082,-0.472,0.350
12.3721972,-15.4357910,-0.622,0.345
12.5223904,-14.7106934,-0.025,0.349
12.3507339,-16.2707520,-0.470,0.346
11.8565990,-15.2160645,-0.238,0.345
12.0285754,-15.3039551,-0.525,0.368
11.6414761,-14.7106934,-0.670,0.343
12.6296178,-14.8425293,-0.397,0.345
12.3078021,-15.4357910,-0.625,0.343
12.6081759,-14.9304199,-0.121,0.362
11.8996033,-14.7985840,-0.415,0.341
12.0285754,-15.4138184,-0.399,0.345
11.4907908,-14.7985840,-0.460,0.343
11.6629959,-14.7106934,-0.635,0.342
12.0285754,-16.0949707,-0.336,0.346
12.0500648,-16.2707520,-0.479,0.347
12.0715524,-15.4357910,-0.517,0.363
12.0715524,-14.4689941,-0.787,0.341
11.5338520,-14.7326660,-0.763,0.352
12.3292689,-16.4245605,-0.315,0.361
12.3936586,-15.3479004,-0.627,0.346
11.9211029,-14.6228027,-0.045,0.341
12.2219175,-14.5349121,-0.513,0.357
12.3078021,-15.7653809,-0.848,0.372
12.5652867,-13.8317871,-0.302,0.358
12.3078021,-15.1721191,-0.725,0.359
11.9640971,-15.8312988,-0.246,0.346
12.0930384,-14.6887207,0.386,0.354
11.4907908,-15.1062012,-0.827,0.344
12.4794869,-14.3371582,-0.690,0.346
12.4794869,-14.1174316,-0.819,0.375
11.8781020,-15.1721191,-0.470,0.346
11.7920798,-15.7434082,-0.340,0.387
11.4477230,-15.3918457,-0.701,0.343
12.1789647,-16.0729980,-0.630,0.352
12.1789647,-15.4357910,-0.418,0.342
12.3507339,-13.8977051,-0.576,0.343
12.2863336,-14.6008301,-0.264,0.341
12.5867322,-14.2492676,-0.495,0.346
12.1145226,-15.8532715,-0.831,0.368
12.3936586,-15.4577637,-0.544,0.347
11.9426009,-15.1501465,-0.568,0.347
11.9426009,-15.8312988,-0.616,0.345
11.8350943,-15.8093262,-0.136,0.345
12.4365763,-15.8532715,-0.497,0.355
11.3400249,-15.3698730,-0.561,0.344
12.3721972,-15.4138184,-0.431,0.360
12.4151184,-16.1389160,-0.199,0.412
11.7275454,-15.1281738,-0.866,0.342
11.4692577,-15.2380371,-0.409,0.359
12.2004420,-16.4025879,-0.749,0.348
12.3507339,-16.4025879,-0.432,0.347
12.4794869,-14.5568848,-0.344,0.343
12.0930384,-14.6667480,-0.695,0.340
12.6724962,-14.7106934,-0.276,0.349
11.4046486,-14.9743652,-0.423,0.345
12.5438394,-15.2819824,-0.790,0.349
12.0715524,-14.5568848,-0.465,0.341
12.6724962,-14.1394043,-0.495,0.354
12.4794869,-14.2932129,-0.423,0.347
12.1360050,-15.0402832,-0.425,0.344
