latitude,longitude,rwi,error
11.1676236,19.2370605,-0.691,0.360
13.6780130,20.7971191,-0.440,0.356
11.0813844,22.5769043,-0.709,0.348
13.2506393,20.1599121,-0.207,0.340
16.1197076,22.8405762,-0.746,0.426
12.8867796,15.3698730,-0.239,0.349
13.7633955,14.4470215,0.467,0.357
14.5304150,22.1374512,-0.855,0.336
15.0402957,22.7746582,-0.600,0.324
9.4598988,17.3034668,-0.850,0.356
11.7275454,15.1721191,-0.314,0.347
14.0833011,13.6779785,-0.391,0.348
13.7847363,20.6872559,-1.004,0.338
8.7004990,17.6550293,-0.450,0.366
8.4615055,16.3146973,-0.446,0.349
12.9081979,15.6555176,0.131,0.351
11.7920798,21.3464355,-0.704,0.339
13.4003068,15.3259277,0.004,0.350
12.4151184,18.0285645,-0.438,0.357
14.0193555,15.1281738,-0.445,0.356
12.5652867,15.3479004,-0.305,0.363
13.8700799,14.3151855,-0.744,0.359
14.6579971,14.7326660,-0.139,0.360
13.7420528,21.7858887,-0.465,0.334
13.4644216,15.1281738,0.114,0.361
12.6724962,20.4895020,-0.601,0.343
13.3575541,15.9851074,-0.166,0.375
9.9363874,14.7106934,-0.405,0.355
14.3814760,21.7419434,-0.685,0.329
12.7368003,21.3464355,-0.520,0.333
8.9610451,15.9411621,-0.742,0.358
12.9081979,18.1384277,-0.425,0.351
12.1789647,15.2819824,-0.509,0.345
13.9127399,15.4138184,-0.308,0.368
8.4180361,15.3918457,-0.302,0.347
9.3731925,15.0622559,-0.320,0.346
14.0193555,21.3024902,-0.331,0.349
12.0500648,18.1384277,-0.237,0.358
13.2292507,15.2600098,-0.241,0.358
14.5942153,22.3132324,-0.398,0.343
10.6929962,17.0837402,-0.349,0.346
11.7920798,15.3698730,-0.630,0.342
13.4644216,22.1154785,-0.675,0.335
8.3745618,15.5895996,-0.477,0.357
9.5682508,17.2595215,-0.521,0.354
7.8960294,16.1169434,-0.635,0.355
8.9610451,16.2927246,-0.496,0.378
13.5285192,21.3684082,-0.591,0.334
15.3583559,21.8957520,-0.639,0.326
13.2078602,18.3361816,0.995,0.491
8.8307950,16.0070801,-0.270,0.370
11.9640971,15.1721191,-0.520,0.361
9.7631974,19.4128418,-0.578,0.341
14.3601909,22.3571777,-0.095,0.323
11.6414761,22.4230957,-0.545,0.325
14.6792536,22.3132324,-0.076,0.328
12.2004420,22.2692871,-0.394,0.346
9.0478525,18.5119629,-0.150,0.375
11.1245072,17.8527832,-0.520,0.362
7.9395558,15.9411621,-0.574,0.349
15.1675773,22.0275879,0.007,0.322
12.4580325,20.4455566,-0.627,0.337
8.4832384,18.7536621,-0.596,0.364
11.0382553,15.4577637,-0.411,0.346
8.9610451,16.6003418,-0.486,0.354
8.4615055,15.7434082,-0.381,0.372
16.0563712,20.9069824,-0.419,0.332
13.9980363,15.5676270,-0.335,0.369
8.7222181,15.2380371,-0.779,0.353
11.0382553,20.2917480,0.734,0.478
13.0152618,17.5231934,-0.393,0.355
12.3507339,14.9304199,-0.446,0.356
8.5484296,17.7429199,-0.678,0.363
12.5223904,22.4230957,0.030,0.337
8.9393399,15.8312988,-0.505,0.376
9.2864645,17.5231934,-0.329,0.359
11.9855916,22.3352051,-0.580,0.338
13.5071552,19.0832520,-0.718,0.340
9.8930985,15.2380371,-0.431,0.365
11.4907908,15.5017090,-1.161,0.345
8.6787785,16.6223145,-0.506,0.468
13.6993616,21.2365723,-0.295,0.333
8.9393399,16.2487793,-0.294,0.356
11.7275454,15.5236816,-0.102,0.338
13.8700799,15.8532715,-0.374,0.365
13.2078602,21.7199707,-0.354,0.360
11.7705700,18.3801270,-0.516,0.349
9.4815719,17.4792480,-0.235,0.360
13.1222796,15.8972168,0.093,0.362
8.0048367,16.6662598,-0.221,0.357
14.0833011,13.6560059,-0.400,0.348
14.4240402,21.8298340,-0.738,0.327
13.5285192,15.2380371,-0.097,0.360
9.9363874,14.1833496,-0.153,0.348
14.3389038,21.8078613,-0.246,0.328
9.8930985,15.3259277,-0.521,0.347
9.2647792,18.3361816,-0.493,0.365
12.1145226,16.8640137,-0.454,0.347
13.7207082,14.4030762,-0.162,0.352
11.0166883,15.4577637,-0.414,0.459
15.1251586,22.6647949,-0.570,0.324
13.6139558,18.4680176,-0.659,0.341
10.4770087,15.4797363,-0.219,0.357
13.5498812,18.5778809,-0.395,0.359
13.1008797,15.3479004,-0.196,0.350
11.8996033,15.0402832,-0.639,0.340
12.5438394,19.4787598,-0.248,0.374
8.5267005,16.8420410,-0.244,0.363
10.7361753,15.5017090,-0.970,0.344
8.6570568,16.0729980,-0.641,0.374
9.1346391,15.6774902,-0.547,0.347
13.0794780,15.5895996,-0.567,0.363
13.5498812,21.5881348,-0.512,0.329
9.8930985,16.1169434,-0.382,0.342
14.8492310,21.8737793,-0.779,0.318
11.2107336,15.5456543,-0.786,0.346
10.3257277,15.3698730,-0.642,0.366
10.4986143,15.4357910,-0.727,0.345
9.0261526,17.9846191,-0.733,0.372
13.1222796,19.3249512,-0.465,0.352
13.4857894,15.7214355,-0.514,0.366
13.1436775,17.4572754,-0.460,0.373
12.2648633,15.4797363,-0.678,0.367
12.0715524,22.2473145,-0.402,0.338
11.8565990,15.3698730,-0.898,0.345
9.8498038,14.6008301,-0.573,0.341
12.1789647,15.8312988,-0.074,0.343
15.7816814,21.9396973,-0.126,0.334
11.8350943,15.6555176,-0.480,0.341
8.5267005,16.4685059,-0.386,0.351
12.0930384,14.9963379,0.744,0.386
13.5925995,15.3479004,0.000,0.353
11.0598206,22.4230957,-0.361,0.330
9.1780244,16.7761230,-0.736,0.363
9.4165483,15.6774902,-0.269,0.348
9.9363874,14.7326660,-0.594,0.336
11.8135879,18.2263184,-0.258,0.355
11.7490585,15.5456543,0.040,0.338
14.1046123,21.6979980,-0.780,0.333
13.7207082,16.1169434,0.107,0.344
13.0580745,15.5895996,-0.382,0.356
7.9830776,17.7209473,-0.344,0.361
10.5418209,17.3913574,-0.447,0.348
12.0930384,22.3571777,-0.681,0.339
10.8656756,15.7214355,-0.430,0.360
12.4365763,19.3688965,-0.887,0.349
9.3731925,14.5788574,-0.543,0.351
9.4598988,15.8532715,-0.379,0.349
9.0044514,16.3146973,-0.029,0.356
17.9473804,18.8854980,-0.018,0.361
13.5498812,15.3698730,-0.319,0.352
14.5304150,22.0715332,-0.834,0.337
8.8525066,16.1169434,-0.514,0.357
11.2753865,18.3142090,-0.520,0.369
8.5484296,17.0617676,-0.262,0.355
9.0044514,16.3366699,-0.127,0.395
13.8274120,20.7971191,0.727,0.508
9.4815719,16.2927246,-0.296,0.351
12.6510579,17.9846191,-0.560,0.349
13.7847363,14.8205566,-0.428,0.351
8.6353339,16.0510254,-0.502,0.374
9.7198857,16.0729980,-0.630,0.367
9.9580298,15.7873535,-0.334,0.366
13.4430519,21.1486816,-0.757,0.352
15.2311894,21.8298340,-0.701,0.342
9.4598988,14.3151855,-0.503,0.344
11.0598206,22.4011230,-0.640,0.331
7.7218784,15.9631348,-0.658,0.390
12.0500648,22.3571777,-0.574,0.342
9.1129444,16.1169434,-0.614,0.352
12.3936586,15.1281738,-0.185,0.351
14.4878712,15.4797363,-0.037,0.360
14.1898373,21.6101074,-0.456,0.331
13.3789314,21.8078613,-0.393,0.331
12.1145226,16.9519043,-0.414,0.353
10.4121830,15.9411621,-0.217,0.340
13.2720261,19.3469238,-0.615,0.349
12.0070844,22.1154785,-0.595,0.332
12.5223904,22.1154785,-0.249,0.338
8.9610451,16.9958496,-0.401,0.357
14.6154780,22.1594238,-0.279,0.330
9.0695511,15.8532715,-0.699,0.372
13.8487469,14.3811035,-0.372,0.351
12.1574857,21.3024902,-0.688,0.338
14.5942153,22.0935059,-0.218,0.331
11.1460662,22.7526855,-0.267,0.339
13.2078602,15.9631348,-0.053,0.354
13.2506393,14.6228027,-0.647,0.360
8.1353671,17.7429199,-0.473,0.362
11.1891794,16.0510254,-0.753,0.346
8.2006163,15.6335449,-0.655,0.356
13.0580745,16.3586426,0.052,0.346
9.2864645,17.2155762,-0.578,0.355
13.2292507,15.5676270,-0.403,0.367
8.2875987,18.7097168,-0.596,0.359
13.9553920,21.9177246,-0.543,0.343
8.2658549,18.7097168,-0.196,0.371
13.0580745,15.1721191,-0.153,0.369
13.6353101,13.8317871,-0.385,0.355
9.3298312,17.1716309,-0.772,0.351
9.0261526,17.2595215,-0.057,0.359
11.6629959,21.2585449,-0.440,0.355
9.7848511,15.7653809,-1.104,0.346
9.6115820,18.3142090,-0.352,0.356
13.7207082,14.0295410,-0.528,0.351
13.6566625,21.7639160,-0.551,0.333
13.1864679,14.9743652,0.149,0.359
12.8867796,21.5002441,-0.153,0.343
7.6347758,16.9738770,0.110,0.338
13.4003068,21.8078613,-0.447,0.329
9.2214045,15.5236816,-0.246,0.365
9.5899171,14.1613770,-0.427,0.364
8.4615055,17.0397949,-0.511,0.375
9.1780244,14.9963379,-0.621,0.342
9.5249141,16.0070801,-0.430,0.367
12.7582314,19.4348145,-0.308,0.348
15.0402957,21.7419434,-0.731,0.326
12.7582314,19.4567871,-0.035,0.345
14.6792536,22.2033691,-0.334,0.333
10.5202184,16.4685059,-0.262,0.364
12.6510579,17.2155762,-0.993,0.366
12.2433913,22.1813965,-0.631,0.336
8.0265947,17.8088379,-0.019,0.361
13.4430519,19.7644043,-0.733,0.342
12.1145226,19.0612793,-0.239,0.350
8.7873681,18.0065918,-0.348,0.359
13.1436775,19.6984863,-0.401,0.350
9.6765684,17.6110840,-0.471,0.354
8.8959258,16.2707520,-0.403,0.366
9.4382242,18.8415527,-0.427,0.356
8.4615055,18.8854980,-0.735,0.356
9.1129444,17.2814941,-0.066,0.371
9.0044514,15.7434082,-0.517,0.351
8.1353671,16.2927246,-0.336,0.357
14.0619878,20.4455566,-0.374,0.334
9.3731925,17.6110840,-0.589,0.358
14.6579971,21.4343262,-0.780,0.335
14.5091441,21.3684082,-0.598,0.331
